lat,lon,spring_T
46.2693361,-119.4474107,23.25
40.7665811,-119.1510058,
31.6101265,-103.0234187,
31.8084803,-103.5333553,
31.8945597,-103.1412514,
31.8710819,-103.0685559,
32.4749,-104.1719,
35.2000612,-107.0172982,
35.2000612,-107.0172982,
35.2000612,-107.0172982,
35.2000612,-107.0172982,
35.2000612,-107.0172982,
35.2000612,-107.0172982,
44.5432179,-110.3124933,
32.6250867,-113.875768,
43.9038952,-117.152883,28.08
31.420579,-103.4284204,
31.8703568,-103.1184635,
31.9951316,-103.6309788,
42.9683827,-116.2019539,20.0
42.9683827,-116.2019539,20.0
33.5074004,-103.0017905,
31.7769188,-103.0589832,
31.8633568,-103.1226476,
34.2500337,-115.5008262,
31.6134247,-103.0046251,
31.9212,-103.1115,
31.9467033,-103.1495344,
31.7463636,-103.3311061,
31.5889527,-103.3712001,
31.6778372,-103.0218154,
31.6406143,-103.0735106,
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
42.5542661,-118.5543167,55.39
32.0944,-104.0954,
35.7971814,-117.7047012,
31.9889671,-103.8673803,
42.7970407,-121.067093,39.0
31.7002097,-103.9109052,
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
45.4963175,-121.5636586,24.0
31.6590602,-103.0327795,
43.0647,-116.7309,
40.7381,-105.0503,
31.9184101,-103.1622616,
31.4016031,-105.8262103,
44.4299,-105.7506,
42.4361032,-114.2235864,16.84
36.2022,-107.415,
31.601554,-103.4637262,
31.7060703,-103.0592576,
31.9642,-103.9765,
31.8130972,-103.1644065,
31.791807,-103.076426,
35.9376479,-106.5420898,
46.3199,-106.8707,
44.2896196,-121.9944471,5.5
31.6376511,-103.5014475,
31.7217279,-103.0477048,
31.8741569,-103.5977922,
39.8736032,-118.0106608,23.0
46.2799,-108.0207,
38.1213477,-115.9675809,19.5
31.2133982,-103.0606304,
31.591121,-103.016285,
31.9221559,-103.3340799,
35.894958,-120.4176736,
31.8689444,-104.562342,
31.8333121,-103.4436836,
31.4287253,-103.091598,
32.0448243,-110.0689608,
31.3445235,-103.9241461,
31.2936913,-103.0921691,
31.9727603,-103.1817397,
36.8566681,-116.4475794,22.63
31.3061463,-103.0705468,
31.8863188,-103.0631221,
48.2499,-108.9008,
31.923519,-103.045009,
31.2983415,-103.1180346,
37.6366747,-113.4128034,13.6
37.2739,-104.7777,
39.9032433,-117.1342699,38.6
31.6338491,-103.0484278,
39.7601042,-118.0892615,19.27
45.5986213,-121.1456484,16.17
45.5986213,-121.1456484,16.17
31.1094092,-103.1740856,
39.4023113,-117.892051,
39.7552248,-115.5128884,14.4
31.5614742,-103.2584396,
31.6524107,-103.4678386,
31.9067894,-103.9832261,
31.8628499,-103.1179425,
31.6172487,-103.3194986,
31.8164232,-103.115394,
39.3321715,-109.6232106,
33.7500607,-113.250761,
31.9567916,-103.1422189,
